r,f_count,interaction_count,h_count
0,1,0,0
1,2,0,10
2,3,0,40
3,4,0,105
4,5,0,226
5,6,0,431
6,7,0,756
7,8,0,1246
8,9,0,1956
9,10,0,2952
10,11,0,4312
11,12,0,6127
12,13,0,8502
13,14,0,11557
14,15,0,15428
15,16,0,20268
16,17,0,26248
17,18,0,33558
18,19,4,42408
19,20,15,53029
20,21,46,65674
21,22,102,80619
22,23,197,98164
23,24,334,118634
24,25,506,142380
25,26,721,169780
26,27,985,201240
27,28,1302,237195
28,29,1687,278110
29,29,2028,324437
30,29,2395,376623
31,28,2524,434983
32,27,2640,499709
33,26,2742,570694
34,25,2838,647580
35,24,2930,729532
36,23,3027,815343
37,22,3123,903149
38,21,3234,990593
39,20,3360,1074483
40,19,3504,1151012
41,18,3681,1215358
42,17,3868,1262010
43,16,4079,1285016
44,15,4308,1279067
45,14,4540,1238599
46,13,4762,1159399
47,12,4952,1040076
48,11,5109,886694
49,10,5220,709626
50,9,5279,523814
51,8,5265,348742
52,7,5164,202965
53,6,4951,98974
54,5,4618,38016
55,4,4123,10098
56,3,3450,1342
57,2,2563,33
58,1,1427,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
